GRB	Time [UT]	Trigger Number	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]
060502A	03:03:32	208169	240.937	66.604	1.0	28.400	23.10
060501	08:14:59	208050	328.374	44.002	1.3	21.900	12.20
060428B	08:54:39	207399	235.369	62.016	1.6	57.900	8.23
060428A	03:22:48	207364	123.540	-37.167	1.0	39.500	13.90
060427	11:43:11	207281	124.177	62.657	2.1	64.000	4.99
060424	04:16:20	206773	7.359	36.787	1.7	37.500	6.76
060421	00:39:23	206257	343.629	62.730	1.0	12.200	12.50
060418	03:06:08	205851	236.431	-3.640	1.0	103.100	83.30
060413	18:40:23	205096	291.287	13.746	1.9	147.700	35.60
060403	13:12:17	203755	282.338	8.327	1.0	30.100	13.50
060323	14:32:36	202505	174.421	50.000	1.4	25.400	6.22
060322	23:00:21	202442	274.230	-36.710	1.1	221.500	52.20
060319	00:55:43	202035	176.379	60.038	2.0	10.600	2.64
060313	00:12:06	201487	66.625	-10.858	1.0	0.740	11.30
060312	01:36:13	201391	45.780	12.827	1.0	50.600	19.70
060306	00:49:11	200638	41.097	-2.163	1.0	61.200	21.30
060223B	19:41:05	192152	254.238	-30.812	1.0	10.300	16.00
060223A	06:04:24	192059	55.186	-17.134	1.2	11.300	6.73
060219	22:48:05	191512	241.851	32.309	2.1	62.100	4.28
060218	03:34:31	191157	50.380	16.910	2.5	~2100	15.70
060211B	15:55:15	181156	75.085	14.959	1.8	27.700	4.38
060211A	09:39:11	181126	58.381	21.489	1.5	126.300	15.70
060210	04:58:50	180977	57.727	27.015	1.0	255.000	76.60
060206	04:46:53	180455	202.933	35.046	1.0	7.600	8.31
060204B	14:34:24	180241	211.805	27.675	1.0	139.400	29.50
060203	23:55:35	180151	103.463	71.841	1.8	68.200	8.98
060202	08:40:55	179968	35.809	38.377	2.1	198.900	21.30
060124	15:54:52	178750	77.097	69.727	1.6	~750	4.61
060123	22:22:40	Ground Analysis|20028	179.750	45.513	n/a	900	3.0
060117	06:50:02	177666	327.912	-59.982	1.0	16.900	202.00
060116	08:37:27	177533	84.698	-5.438	1.7	105.900	24.10
060115	13:08:01	177408	54.007	17.339	2.0	139.600	17.10
060111B	20:15:43	176918	286.456	70.380	1.5	58.800	16.00
060111A	04:23:06	176818	276.193	37.600	1.0	13.200	12.00
060110	08:01:18	176702	72.737	28.428	1.0	26.000	15.70
060109	16:54:41	176620	282.735	32.011	3.0	115.400	6.55
060108	14:39:12	176453	147.013	31.935	1.3	14.300	3.69
060105	06:49:27	175942	297.485	46.356	1.0	54.400	176.00
060102	21:17:28	175603	328.839	-1.837	2.6	19.000	2.34
051227	18:07:16	174738	125.231	31.949	2.1	114.600	6.99
051221B	20:03:20	173904	312.378	53.041	1.6	39.900	9.17
051221A	01:51:16	173780	328.715	16.888	1.0	1.400	11.50
051213	07:13:04	172516	252.084	-59.233	1.8	71.100	7.82
051210	05:46:21	171931	330.192	-57.622	1.9	1.300	0.85
051117B	13:22:54	164279	85.205	-19.286	2.4	9.000	1.77
051117A	10:51:20	164268	228.398	30.868	1.0	136.300	43.40
051114	04:11:28	163844|Ground Analysis	226.290	60.154	1.9	2.2	1.28
051113	15:22:35	163765	187.242	-26.395	1.4	93.300	25.60
051111	05:59:41	163438	348.136	18.367	1.0	46.100	40.80
051109B	08:39:39	163170	345.469	38.663	2.0	14.300	2.56
051109A	01:12:21	163136	330.316	40.850	1.9	37.200	22.00
051105A	06:26:41	162580	265.279	34.916	2.6	0.093	0.22
051021B	23:31:54	160672	126.059	-45.534	1.3	46.500	8.35
051016B	18:28:09	159994	132.123	13.629	1.6	4.000	1.70
051016A	05:23:31	159913	122.814	-18.299	2.0	23.000	8.37
051012	17:05:54	159413|Ground Analysis|20017	270.513	-52.799	2.2	13	3.04
051008	16:33:21	158855	202.865	42.103	1.0	>32	50.90
051006	20:30:33	158593	110.807	9.510	1.4	34.800	13.40
051001	11:11:36	157870	350.984	-31.515	2.3	189.100	17.40
050925	09:04:34	156838	303.490	34.329	1.4	0.070	0.76
050922C	19:55:50	156467	317.383	-8.764	1.0	4.500	16.20
050922B	15:02:00	156434	5.790	-5.607	2.6	150.900	22.30
050916	16:35:52	155408	135.979	-51.406	2.9	49.500	9.29
050915B	21:23:04	155284	219.109	-67.411	1.0	40.900	33.80
050915A	11:22:42	155242	81.688	-28.014	1.4	52.000	8.50
050911	15:59:34	154630	13.710	-38.856	2.4	16.200	3.17
050908	05:42:31	154112	20.457	-12.950	1.5	19.400	4.83
050906	10:32:05	153866	52.802	-14.621	3.3	0.258	0.06
050904	01:51:44	153514	13.770	14.189	2.7	174.200	48.30
050827	18:57:15	152325	64.294	18.219	1.0	50.000	21.00
050826	06:18:10	152113	87.761	-2.658	2.0	35.500	4.13
050824	23:12:16	151905	12.264	22.602	2.1	22.600	2.66
050822	03:49:29	151486	51.106	-46.030	1.7	103.400	24.60
050820B	23:50:27	151334	135.607	-72.640	1.0	12.000	20.60
050820A	06:34:53	151207	337.416	19.560	1.1	26	34.40
050819	16:23:55	151131	358.751	24.871	2.0	37.700	3.50
050815	17:25:19	150532	293.584	9.139	1.9	2.900	0.79
050814	11:38:57	150314	264.196	46.324	2.0	150.900	20.10
050813	06:45:10	150139	242.001	11.244	2.8	0.450	0.44
050803	19:14:00	148833	350.650	5.788	1.2	87.900	21.50
050802	10:08:02	148646	219.283	27.799	1.3	19.000	20.00
050801	18:28:02	148522	204.144	-21.930	1.5	19.400	3.10
050730	19:58:23	148225	212.069	-3.754	1.3	156.500	23.80
050726	05:00:18	147788	200.024	-32.064	1.8	49.900	19.40
050724	12:34:09	147478	246.175	-27.526	1.9	96.000	9.98
050721	04:29:14	146970	253.453	-28.386	1.9	98.400	36.20
050717	10:30:52	146372	214.348	-50.541	1.0	85.000	63.10
050716	12:36:04	146227	338.593	38.683	1.0	69.100	61.70
050715	22:30:26	146129	155.641	-0.029	1.3	51.600	14.90
050714B	22:40:32	145994	169.691	-15.547	2.4	46.700	5.95
050713B	12:07:18	145754	307.821	60.936	2.1	54.200	31.80
050713A	04:29:02	145675	320.585	77.072	1.0	124.700	51.10
050712	14:00:28	145581	77.722	64.924	1.7	51.600	10.80
050701	11:42:59	143708	227.241	-59.399	2.0	21.800	13.60
050607	09:11:23	132247	300.180	9.139	1.3	26.400	5.92
050603	06:29:05	131560	39.982	-25.175	1.1	12.400	63.60
050528	04:06:45	130679	353.524	45.957	2.1	11.300	4.48
050525A	00:02:53	130088	278.142	26.335	1.0	8.800	153.00
050509B	04:00:19	118749	189.046	28.974	2.5	0.073	0.09
050509A	01:46:29	118707	310.573	54.076	1.2	11.400	3.41
050507	22:43:18	118248	48.063	-11.064	2.1	>15	1.67
050505	23:22:21	117504	141.760	30.266	1.3	58.900	24.90
050502B	09:25:40	116116	142.535	16.987	1.2	17.700	4.78
050422	07:52:40	115214	324.507	55.788	1.8	59.300	6.07
050421	04:11:52	115135	307.341	73.678	2.7	15.000	1.45
050418	11:00:35	114893	44.334	-18.541	1.0	82.300	52.10
050416B	22:35:54	114797	133.848	11.186	1.3	3.400	10.80
050416A	11:04:44	114753	188.485	21.058	1.5	2.500	3.67
050412	05:44:03	114485	181.099	-1.193	1.5	26.500	6.18
050410	12:14:34	114298|114299	89.757	79.605	1.1	42.500	41.50
050406	15:58:48	113872	34.410	-50.180	2.5	5.400	0.68
050401	14:20:15	113120	247.873	2.185	1.0	33.300	82.20
050326	09:53:56	112453	6.871	-71.377	1.0	29.300	88.60
050319	09:31:18	111622	154.172	43.581	2.4	152.500	13.10
050318	15:44:37	111529	49.695	-46.386	1.0	32	10.80
050315	20:59:43	111063	306.476	-42.591	1.1	95.600	32.20
050306	03:33:12	107547	282.309	-9.152	1.0	158.300	115.00
050223	03:09:06	106709	271.394	-62.465	1.5	22.500	6.36
050219B	21:05:51	106442	81.306	-57.758	1.0	30.700	158.00
050219A	12:40:01	106415	166.416	-40.681	1.0	23.700	41.10
050215B	02:33:43	106107	174.463	40.797	1.6	8.100	2.27
050215A	02:15:29	106106	348.403	49.328	2.6	87.300	7.08
050202	03:35:15	104298	290.584	-38.730	2.3	0.270	0.30
050128	04:19:55	103906	219.587	-34.765	1.1	19.200	50.20
050126	12:00:54	103780	278.115	42.384	1.4	24.800	8.38
050124	11:30:03	103647	192.877	13.039	1.0	4.000	11.90
050117	12:52:36	102861	358.479	65.939	1.0	166.600	88.10
041228	10:49:14	100970	336.642	5.032	1.0	55.400	34.90
041226	20:34:19	100815	79.689	73.329	3.0	89.700	3.21
041224	20:20:58	100703	56.192	-6.663	2.0	177.200	87.30
041223	14:06:18	100585	100.204	-37.068	1.0	109.100	167.00
041220	22:58:27	100433	291.288	60.598	1.0	5.600	3.83
041219C	20:30:34	100380*	343.926	-76.744	1.0	4.800	13.10
041219B	15:38:48	100367*	167.674	-33.458	7.0	30	n/a
041219A	01:42:18	100307|100319	6.154	62.847	7.0	520	1550
041217	07:28:25	100116*	164.793	-17.942	1.3	5.800	27.70
